date,open,high,low,close,volume,amount
2021-01-13,5609.2637,5644.7195,5535.1435,5577.9711,26156988600,546959736365.5000
2021-01-14,5556.2125,5568.0179,5458.6818,5470.4563,24368338000,501890111879.0000
2021-01-15,5471.3910,5500.6348,5390.2737,5458.0812,23863743500,475709920372.3000
2021-01-18,5438.1618,5541.4613,5410.7750,5518.5205,20705186900,422717209153.0000
2021-01-19,5525.9690,5532.4793,5415.7166,5437.5234,21104342500,433205176449.9000
2021-01-20,5439.9111,5496.0493,5426.5357,5476.4336,17091326000,373770384496.4000
2021-01-21,5492.9587,5593.1058,5490.5626,5564.9693,20995019700,453183684478.9000
2021-01-22,5562.3790,5573.6594,5513.8769,5569.7760,19930002000,456622193435.6000
2021-01-25,5564.1237,5655.4795,5543.2663,5625.9232,19704701900,508166980802.0000
2021-01-26,5600.9017,5600.9017,5505.9962,5512.9678,17190459000,415008069865.0000
2021-01-27,5505.7708,5534.9928,5449.6385,5528.0034,16019084100,376892605839.1000
2021-01-28,5450.3695,5462.2352,5360.3766,5377.1427,17048558500,376166523177.5000
2021-01-29,5413.9684,5430.2015,5288.0955,5351.9646,18217878400,390287690019.0000
2021-02-01,5356.8535,5422.2990,5342.0458,5417.6484,16631370600,346859083730.0000
2021-02-02,5429.7032,5503.2145,5411.5173,5501.0915,16521056500,380016716111.9000
2021-02-03,5499.2961,5532.8864,5473.1237,5485.2008,18805431700,404343602637.7000
2021-02-04,5453.9764,5510.0535,5411.5749,5473.9475,18057565400,397995205379.9000
2021-02-05,5494.7011,5550.7714,5477.6517,5483.4140,18969959800,395400134490.0000
2021-02-08,5506.1423,5576.4908,5479.8529,5564.5618,16403377500,367582771658.8000
2021-02-09,5584.1650,5686.2502,5555.0537,5686.2502,16488726000,378769121171.9000
2021-02-10,5709.6840,5823.4219,5707.3295,5807.7191,17016978600,417056463360.9000
2021-02-18,5922.0714,5930.9122,5747.6631,5768.3814,21884868600,507481235977.7000
2021-02-19,5734.0193,5787.8871,5667.3209,5778.8420,21447578000,456433793702.1000
2021-02-22,5785.5097,5785.5097,5597.3327,5597.3327,28212438200,543633153216.5000
2021-02-23,5542.6841,5644.7551,5541.1092,5579.6681,23380772700,424904470814.2000
2021-02-24,5591.4795,5598.8284,5379.7278,5437.5683,22542861000,472369211004.2000
2021-02-25,5494.4706,5527.6296,5444.1646,5469.5584,23073602800,412206157140.7000
2021-02-26,5343.9041,5416.3197,5318.8579,5336.7609,21226454300,405717700127.9000
2021-03-01,5389.2499,5421.5550,5345.9449,5418.7837,17746352300,358146545967.0000
2021-03-02,5453.2847,5454.9687,5305.0545,5349.6301,19651111500,376444604695.3000
2021-03-03,5327.3467,5452.3960,5316.4809,5452.2125,19470905400,337610313596.0000
2021-03-04,5388.4785,5392.3725,5254.7771,5280.7058,21277521100,384382456961.0000
2021-03-05,5191.9699,5307.8203,5174.2458,5262.7958,20262795600,352539774294.9000
2021-03-08,5299.7907,5326.2602,5079.7984,5080.0246,23023163500,407133802141.7000
2021-03-09,5066.1546,5094.3110,4917.9090,4970.9994,23071100400,414415213806.0000
2021-03-10,5047.0589,5055.2785,4981.6161,5003.6121,16992849000,309577408714.9000
2021-03-11,5024.5586,5138.4146,5020.5784,5128.2156,18960076600,333859199678.6000
2021-03-12,5153.6740,5153.6740,5086.8234,5146.3786,20102058900,323237751413.4000
2021-03-15,5116.1228,5120.8757,4992.3989,5035.5441,20415308400,330740513807.9000
2021-03-16,5054.4089,5084.3085,5009.9510,5079.3624,16139005400,271755048563.6000
